CODE,DESCRIPTION,QTY,UNIT,RATE,SUBTOTAL,MARKUP,TOTAL
06.CO.0.0.0.0.0,CONCRETE,,HEAD,,,,
06.CO.0.1.0.0.0,Footings,,,,,,
06.CO.0.1.1.0.0,Bases,,,,,,
06.CO.0.1.2.0.0,Pile Caps,,,,,,
06.CO.0.1.2.0.0.R0,Pile Cap - Labour only excludes material & all plant,,hr,,,,
06.CO.0.1.2.0.0.R1,Pile Cap - 15mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.2.0.0.R2,Pile Cap - 20mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.2.0.0.R3,Pile Cap - 25mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.2.0.0.R4,Pile Cap - 32mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.2.0.0.R5,Pile Cap - 40mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.2.0.0.R6,Pile Cap - 50mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.3.0.0,Pad Footings,,,,,,
06.CO.0.1.3.0.0.R0,Pad Footing - Labour only excludes material & all plant,,hr,,,,
06.CO.0.1.3.0.0.R1,Pad Footing - 15mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.3.0.0.R2,Pad Footing - 20mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.3.0.0.R3,Pad Footing - 25mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.3.0.0.R4,Pad Footing - 32mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.3.0.0.R5,Pad Footing - 40mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.3.0.0.R6,Pad Footing - 50mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.4.0.0,Similar Pad Footings,,,,,,
06.CO.0.1.4.1.0,Piers,,,,,,
06.CO.0.1.4.1.0.R0,Pier Footing - Labour only excludes material & all plant,,hr,,,,
06.CO.0.1.4.1.0.R1,Pier Footing - 15mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.4.1.0.R2,Pier Footing - 20mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.4.1.0.R3,Pier Footing - 25mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.4.1.0.R4,Pier Footing - 32mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.4.1.0.R5,Pier Footing - 40mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.4.1.0.R6,Pier Footing - 50mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.5.0.0,Strip Footings,,,,,,
06.CO.0.1.5.0.0.R0,Strip Footing Labour only excludes material & all plant,,hr,,,,
06.CO.0.1.5.0.0.R1,Strip Footing - 15mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.5.0.0.R2,Strip Footing - 20mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.5.0.0.R3,Strip Footing - 25mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.5.0.0.R4,Strip Footing - 32mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.5.0.0.R5,Strip Footing - 40mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.5.0.0.R6,Strip Footing - 50mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.6.0.0,Ground Beams,,,,,,
06.CO.0.1.6.0.0.R0,Ground Beam - Labour only excludes material & all plant,,hr,,,,
06.CO.0.1.6.0.0.R1,Ground Beam - 15mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.6.0.0.R2,Ground Beam - 20mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.6.0.0.R3,Ground Beam - 25mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.6.0.0.R4,Ground Beam - 32mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.6.0.0.R5,Ground Beam - 40mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.6.0.0.R6,Ground Beam - 50mPa Normal concrete including labour & small hand held plant not including pump,,m3,,,,
06.CO.0.1.7.0.0,Similar Items Strip Footings,,,,,,
06.CO.0.2.0.0.0,Slabs,,,,,,
06.CO.0.2.1.0.0,Slabs On Ground,,,,,,
06.CO.0.2.1.1.0,Per 1M3,,,,,,
06.CO.0.2.1.1.0.R0,Ground slab - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.1.1.0.R1,Ground slab - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.1.1.0.R2,Ground slab - 20mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.1.1.0.R3,Ground slab - 25mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.1.1.0.R4,Ground slab - 32mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.1.1.0.R5,Ground slab - 40mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.1.1.0.R6,Ground slab - 50mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m3,,,,
06.CO.0.2.1.2.0,Up To 100mm Thick,,,,,,
06.CO.0.2.1.2.0.R0,Ground slab up to 100mm Thick - Labour only excludes material & all plant,,hr,,,,
06.CO.0.2.1.2.0.R1,Ground Slab up to 100mm - 15mPa Normal concrete including labour & small hand held plant not including pump & integral finishes,,m2,,,,
